page_number,url
5,https://www.linksfraktion.de/presse/pressemitteilungen/detail/wer-fachkraefte-braucht-und-anwirbt-muss-auch-eine-willkommenskultur-entwickeln/
6,https://www.linksfraktion.de/presse/pressemitteilungen/detail/vorwuerfe-gegen-staatssekretaer-philipp-erfordern-vollstaendige-transparenz/
6,https://www.linksfraktion.de/presse/pressemitteilungen/detail/regierung-faehrt-pflege-an-die-wand/
6,https://www.linksfraktion.de/presse/pressemitteilungen/detail/diplomatieoffensive-endlich-unterstuetzen/
6,https://www.linksfraktion.de/presse/pressemitteilungen/detail/queerfeinde-in-die-schranken-weisen/
6,https://www.linksfraktion.de/presse/pressemitteilungen/detail/armut-bekaempfen-lindner-entlassen/
6,https://www.linksfraktion.de/presse/pressemitteilungen/detail/arztpraxen-nicht-weiter-finanzhaien-zur-spekulation-ueberlassen/
6,https://www.linksfraktion.de/presse/pressemitteilungen/detail/internationaler-tag-der-familie-familiennachzug-endlich-vereinfachen/
6,https://www.linksfraktion.de/presse/pressemitteilungen/detail/kein-zwang-zum-dienst-an-der-waffe/
6,https://www.linksfraktion.de/presse/pressemitteilungen/detail/neuausrichtung-der-tuerkeipolitik-ueberfaellig/
6,https://www.linksfraktion.de/presse/pressemitteilungen/detail/duestere-zukunft-fuer-die-pflege-in-zeiten-der-fortschrittskoalition/
7,https://www.linksfraktion.de/presse/pressemitteilungen/detail/europarat-staerken-und-nicht-geopolitisch-instrumentalisieren/
7,https://www.linksfraktion.de/presse/pressemitteilungen/detail/militaermanoever-behindern-massiv-die-special-olympics-world-games-in-berlin/
7,https://www.linksfraktion.de/presse/pressemitteilungen/detail/nein-zu-wirtschaftssanktionen-gegen-china/
7,https://www.linksfraktion.de/presse/pressemitteilungen/detail/keine-party-zum-europatag/
7,https://www.linksfraktion.de/presse/pressemitteilungen/detail/asylrechtsverschaerfungen-loesen-keine-probleme/
7,https://www.linksfraktion.de/presse/pressemitteilungen/detail/tag-der-befreiung-8-mai-zum-europaeischen-feiertag-machen/
7,https://www.linksfraktion.de/presse/pressemitteilungen/detail/mehr-strassen-fuehren-zu-mehr-strassenverkehr-ein-verkehrspolitischer-irrweg/
7,https://www.linksfraktion.de/presse/pressemitteilungen/detail/renten-einmalig-und-zusaetzlich-um-zehn-prozent-erhoehen/
7,https://www.linksfraktion.de/presse/pressemitteilungen/detail/aufwaertsspirale-bei-den-loehnen-notwendig/
7,https://www.linksfraktion.de/presse/pressemitteilungen/detail/jobcenter-heftige-geldnoete-statt-aufbruch/
8,https://www.linksfraktion.de/presse/pressemitteilungen/detail/tempo-machen-beim-bundeswehrabzug-aus-mali/
8,https://www.linksfraktion.de/presse/pressemitteilungen/detail/queerfeindliches-gesetz-in-uganda-braucht-deutliche-reaktionen-und-schutz-fuer-die-betroffenen/
8,https://www.linksfraktion.de/presse/pressemitteilungen/detail/inhaftierung-von-julian-assange-ist-schwerwiegender-angriff-auf-pressefreiheit/
8,https://www.linksfraktion.de/presse/pressemitteilungen/detail/selbstbestimmungsgesetz-ein-meilenstein-mit-zu-vielen-einschraenkungen/
8,https://www.linksfraktion.de/presse/pressemitteilungen/detail/kostenexplosionen-im-beschaffungswesen-stoppen/
8,https://www.linksfraktion.de/presse/pressemitteilungen/detail/die-hinrichtung-von-mohammad-ramez-rashidi-und-naeim-hashem-ghotali-muss-verhindert-werden/
8,https://www.linksfraktion.de/presse/pressemitteilungen/detail/dialog-statt-konfrontation-bei-klimaprotesten/
8,https://www.linksfraktion.de/presse/pressemitteilungen/detail/aufruestungswahnsinn-beenden-statt-befeuern/
8,https://www.linksfraktion.de/presse/pressemitteilungen/detail/kein-einsatz-der-bundeswehr-im-sudan/
8,https://www.linksfraktion.de/presse/pressemitteilungen/detail/mercosur-abkommen-verhandlungen-brauchen-neustart/
