"page_number","urls"
6,"https://afdbundestag.de/stephan-protschka-bundesregierung-schliesst-gefahren-durch-mit-uranstaub-kontaminierte-lebensmittel-nicht-aus/"
6,"https://afdbundestag.de/mariana-harder-kuehnel-gendersprache-raus-aus-den-medien/"
7,"https://afdbundestag.de/rene-springer-baerbock-und-heil-auf-verzweiflungsreise-fachkraeftemangel-bleibt-hausgemachtes-problem/"
7,"https://afdbundestag.de/stephan-brandner-fast-jeder-zweite-verurteilte-moerder-ist-auslaender/"
7,"https://afdbundestag.de/petr-bystron-anti-ungarn-resolution-delegitimiert-das-eu-parlament/"
7,"https://afdbundestag.de/goetz-froemming-aufklaerung-des-vorfalls-an-der-freien-universitaet-ist-dringend-geboten/"
7,"https://afdbundestag.de/michael-kaufmann-japan-startet-bei-atomkraft-durch-deutschland-verspielt-seine-chancen-in-der-forschung/"
7,"https://afdbundestag.de/steffen-kotre-deutschlands-energieversorgung-steht-am-abgrund/"
7,"https://afdbundestag.de/nicole-hoechst-angriffe-auf-symbole-des-christlichen-glaubens-nicht-als-sachbeschaedigung-bagatellisieren/"
7,"https://afdbundestag.de/martin-e-renner-bundesregierung-verweigert-weiter-transparenz-zu-zahlungen-an-journalisten/"
8,"https://afdbundestag.de/martin-reichardt-sogenanntes-selbstbestimmungsgesetz-legt-axt-an-grundlagen-der-familie/"
8,"https://afdbundestag.de/beatrix-von-storch-justiz-versagt-und-ermoeglicht-lina-e-das-abtauchen-in-den-untergrund/"
8,"https://afdbundestag.de/kay-gottschalk-deutschland-braucht-einen-ueberblick-ueber-die-fiskalischen-lasten-der-zuwanderung/"
8,"https://afdbundestag.de/enrico-komning-buerokratiemonster-eu-lieferkettengesetz-aufhalten-2/"
8,"https://afdbundestag.de/martin-reichardt-die-lufthoheit-ueber-den-kinderbetten-gehoert-einzig-und-allein-den-eltern/"
8,"https://afdbundestag.de/rene-springer-gewerkschaftlich-organisiertes-lohndumping-in-der-leiharbeit-stoppen/"
8,"https://afdbundestag.de/stephan-protschka-marktverzerrungen-durch-getreideimporte-aus-der-ukraine-beenden/"
8,"https://afdbundestag.de/rene-springer-realloehne-sinken-erneut-enteignung-der-buerger-nimmt-fahrt-auf/"
9,"https://afdbundestag.de/eugen-schmidt-regierung-versagt-beim-datenschutz-gegenueber-us-geheimdiensten/"
9,"https://afdbundestag.de/alice-weidel-umfaller-fdp-liefert-die-buerger-an-heizungs-stasi-und-waermeplanwirtschaft-aus/"
9,"https://afdbundestag.de/rene-springer-deutschland-braucht-keine-niedriglohnjobber-aus-entwicklungslaendern/"
9,"https://afdbundestag.de/markus-frohnmaier-das-projekt-kosovo-ist-gescheitert/"
9,"https://afdbundestag.de/petr-bystron-kosovo-gehoert-nicht-in-den-europarat/"
9,"https://afdbundestag.de/ulrike-schielke-ziesing-rentner-duerfen-nicht-zur-verhandlungsmasse-missratener-politik-werden/"
9,"https://afdbundestag.de/rene-bochmann-binnenschifffahrt-staerken/"
9,"https://afdbundestag.de/martin-reichardt-staatssekretaer-lehmann-beantwortet-frage-nach-paedophilem-kentler-pflegekinder-experiment-nicht/"
10,"https://afdbundestag.de/thomas-ehrhorn-sumpf-des-sexuellen-kindesmissbrauchs-in-institutionen-austrocknen/"
10,"https://afdbundestag.de/kay-gottschalk-steuersenkungen-sind-das-gebot-der-stunde/"
10,"https://afdbundestag.de/bernd-schattner-pilzwiderstandsfaehige-rebsorten-foerdern/"
10,"https://afdbundestag.de/martin-sichert-widerspruch-gegen-ordnungsruf/"
